id,effect,internal_name,introduction,name
1,"使用招式攻击对手造成伤害时，对方有10%几率陷入畏缩状态。
- 该效果与王者之证／锐利之牙不叠加。
- 该效果与特效为畏缩的招式（比如空气之刃）不叠加。
- 连续招式每一下连续的攻击都会有相同的几率造成对手畏缩。",stench,通过释放臭臭的气味，在攻击的时候，有时会使对手畏缩。,恶臭
2,"当该宝可梦登场时，天气转为下雨并持续5回合。
- 在携带了道具潮湿岩石的情况下，下雨会持续8回合。
- 在大雨、大日照和乱流天气下，特性发动失败。
- 如果有多只拥有可更换天气特性的宝可梦同时登场，那么将会按照宝可梦的速度依次发动特性改变天气，后者覆盖前者。发动失败的情况下除外。",drizzle,出场时，会将天气变为下雨。,降雨
3,"持有该特性的宝可梦每回合结束速度上升1级，但该回合交换出持有该特性的宝可梦则不会发动。
拥有该特性的宝可梦每250回合永久增加一次移动速度。
每到一层，拥有该特性的宝可梦每回合增加1点移动速度，持续20回合。达到最大值之后持续5回合。SMD",speed-boost,每一回合速度会变快。,加速
4,不会被击中要害，即使是必定命中要害的招式也不会击中要害。,battle-armor,被坚硬的甲壳守护着，不会被对手的攻击击中要害。,战斗盔甲
5,"一击必杀的招式对拥有该特性的宝可梦无效。
拥有该特性的宝可梦在满ＨＰ状态下受到一次攻击时，至少会保留1点ＨＰ。
- 受到连续招式时，第一次攻击就会使结实特性发动或不再满足发动条件，无法对后续攻击生效。
- 无法抵御造成自身陷入昏厥状态的招式所导致的自身昏厥效果。
- 无法阻止同命状态生效。
该特性的宝可梦携带气势披带受到了一击被击倒的招式，优先触发结实特性的效果，不会消耗气势披带。
该特性的宝可梦受到过伤害后，如果HP回复到全满，能够再次触发特性。",sturdy,在ＨＰ全满时，即使受到招式攻击，也不会被一击打倒。一击必杀的招式也没有效果。,结实
6,当该宝可梦在场时，玉石俱碎、大爆炸、惊爆大头和薄雾炸裂会使用失败，诱爆特性无效。,damp,通过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。,湿气
7,该特性的宝可梦不会陷入麻痹状态，陷入麻痹的宝可梦获得该特性时麻痹状态消除。,limber,因为身体柔软，不会变为麻痹状态。,柔软
8,在沙暴天气中闪避率提升20%，并且不会受到沙暴天气损失体力的影响。,sand-veil,在沙暴的时候，闪避率会提高。,沙隐
9,"使用接触类招式攻击该特性的宝可梦时会有30%的机率麻痹。
连续招式的每一击都会单独触发该特性。",static,身上带有静电，有时会让接触到的对手麻痹。,静电
10,"具有该特性的宝可梦不受电属性招式的影响，当被电属性的招式击中时，回复最大ＨＰ的1⁄4。
- 该特性只能令自身不受电属性招式的影响，不能将电属性招式的目标转移至自身。
- 该特性对电属性的变化招式有效。包括通过其他方式变为电属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。
- 该特性的宝可梦无法触发自身携带的充电电池。
- 该特性的宝可梦进入守住状态无法通过被电属性招式击中回复ＨＰ。",volt-absorb,受到电属性的招式攻击时，不会受到伤害，而是会回复。,蓄电
11,"具有该特性的宝可梦不受水属性招式的影响，当被水属性的招式击中时，回复最大ＨＰ的1⁄4。
- 该特性只能令自身不受水属性招式的影响，不能将水属性招式的目标转移至自身。
- 该特性对水属性的变化招式有效。包括通过其他方式变为水属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。
- 该特性的宝可梦无法触发自身携带的球根或光苔。
- 该特性的宝可梦进入守住状态无法通过被水属性招式击中回复ＨＰ。",water-absorb,受到水属性的招式攻击时，不会受到伤害，而是会回复。,储水
12,"该特性的宝可梦不会陷入着迷和挑衅状态。陷入此状态的宝可梦获得该特性时此状态消除。
该特性不受威吓影响。",oblivious,因为感觉迟钝，不会变为着迷和被挑衅状态。对威吓也毫不动摇。,迟钝
13,拥有该特性的宝可梦在场时，任何天气造成的影响无效。天气并不会消失。,cloud-nine,任何天气的影响都会消失。,无关天气
14,"自身招式的命中率×1.3。
该特性不影响一击必杀招式的命中率。",compound-eyes,因为拥有复眼，招式的命中率会提高。,复眼
15,"该特性的宝可梦不会陷入睡眠状态，睡觉招式会无效。陷入睡眠的宝可梦获得该特性时睡眠状态消除。
烦恼种子可以使宝可梦变成该特性。",insomnia,因为有着睡不着的体质，所以不会陷入睡眠状态。,不眠
16,"当被造成伤害的招式命中时，自身属性会变成这种招式的属性，但处于替身状态时属性不会改变。
- 连续招式全部攻击结束后变色特性再发动；
- 挣扎不会触发该特性；
- 被持有强行特性的宝可梦攻击时该特性不会发动；
- 预知未来和破灭之愿可以触发该特性。
当该特性的宝可梦拥有两种属性，被造成伤害的招式命中后，只会拥有一种属性。如果处于黑暗气场下的气象球命中后，该特性的宝可梦会变为一般属性。
在改变属性后，属性改变前存在的异常状态和该属性若排斥，异常状态仍生效。（例如毒属性和中毒）",color-change,自己的属性会变为从对手处所受招式的属性。,变色
17,该特性的宝可梦不会陷入中毒或剧毒状态。陷入中毒或剧毒的宝可梦获得该特性时中毒或剧毒状态消除。,immunity,因为体内拥有免疫能力，不会变为中毒状态。,免疫
18,"具有该特性的宝可梦不受火属性招式的影响，当被火属性的招式击中时，此宝可梦标记为引火状态，直到换下场或者失去此特性。
- 该特性只能令自身不受火属性招式的影响，不能将火属性招式的目标转移至自身。
- 该特性对火属性的变化招式有效。包括通过其他方式变为火属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。
- 当处于引火状态的宝可梦使用火属性攻击招式时，自身攻击和特攻×1.5。当该特性的宝可梦处于冰冻，该特性可以触发。烈焰溅射无法触发引火。",flash-fire,受到火属性的招式攻击时，吸收火焰，自己使出的火属性招式会变强。,引火
19,"拥有该特性的宝可梦不会受到其他宝可梦招式的追加效果影响。
- 不能防止变化招式（如催眠粉、电磁波）的效果。
- 不能防止该特性宝可梦自身使用招式时的副作用（如近身战）。
- 不能防止招式对攻击方自身（如增强拳）或场地（如岩斧）施加的追加效果。也不能防止极巨招式或超极巨招式的效果。
- 可以防止毒手、毒锁链特性造成的中毒状态、投掷投出部分道具时造成的效果，尽管这些不属于追加效果。",shield-dust,被鳞粉守护着，不会受到招式的追加效果影响。,鳞粉
20,"该特性的宝可梦不会陷入混乱状态。陷入混乱的宝可梦获得该特性时混乱状态消除。在该特性的宝可梦使用花瓣舞、逆鳞或者芭亚果等使自身混乱后，混乱状态仍然消除。
该特性不受威吓影响。",own-tempo,因为我行我素，不会变为混乱状态。对威吓也毫不动摇。,我行我素
21,"拥有该特性的宝可梦不受强制替换宝可梦的招式以及红牌的影响。
- 自身使用和后备宝可梦进行替换的招式或携带的逃脱按键不受该特性影响。",suction-cups,用吸盘牢牢贴在地面上，让替换宝可梦的招式和道具无效。,吸盘
22,"出场或获得此特性时所有攻击范围内的对手的攻击下降1级。
- 对处于飞翔、潜水、挖洞或暗影潜袭状态的宝可梦有效。
- 拥有恒净之躯、怪力钳、白色烟雾、金属防护、精神力、迟钝、胆量和我行我素特性的宝可梦不受影响。
- 处于替身状态的宝可梦不受影响。
- 在三打对战中，若该特性的宝可梦不是从中间出场，则只能威吓到与该宝可梦相同一侧和中间的宝可梦。
- 胆怯特性的宝可梦，在受到威吓后能够提升速度。
- 看门犬特性的宝可梦，威吓效果无效，并且攻击提高1级。
用物理招式攻击该特性的宝可梦的伤害下降20%。",intimidate,出场时威吓对手，让其退缩，降低对手的攻击。,威吓
23,使对方全部不持有踩影特性的非幽灵属性宝可梦处于无法逃走状态，无法替换或逃走。,shadow-tag,踩住对手的影子使其无法逃走或替换。,踩影
24,"受到接触类招式攻击时对手会损失最大体力的1⁄8。
- 连续招式的每一击都会触发此特性。
- 有粗糙皮肤特性的宝可梦使用守住并被攻击方使用Ｚ招式攻击时，粗糙皮肤特性不会发动。
如果受到敌人从正面的近身攻击，会反弹一半伤害。",rough-skin,受到攻击时，用粗糙的皮肤弄伤接触到自己的对手。,粗糙皮肤
25,"如果招式对拥有该特性的宝可梦不能产生效果绝佳，则招式对该特性的宝可梦没有伤害。
例如：脱壳忍者（虫.mw-parser-output .type-box-9,.mw-parser-output .type-box-9-other{position:relative;display:inline-block;overflow:hidden;margin:0 1px;height:20px;border-radius:10px;text-align:center;vertical-align:middle;white-space:nowrap;font-size:14px;line-height:20px}.mw-parser-output .type-box-9{padding-left:17px;width:60px}.mw-parser-output .type-box-9-other{width:80px}.mw-parser-output .type-box-9-icon{position:absolute;top:0;left:2px;width:20px;height:20px}.mw-parser-output .type-box-9-text{color:#fff}.mw-parser-output .type-box-9-一般{background-color:#9fa19f}.mw-parser-output .type-box-9-格斗,.mw-parser-output .type-box-9-格鬥{background-color:#ff8000}.mw-parser-output .type-box-9-飞行,.mw-parser-output .type-box-9-飛行{background-color:#81b9ef}.mw-parser-output .type-box-9-毒{background-color:#9141cb}.mw-parser-output .type-box-9-地面{background-color:#915121}.mw-parser-output .type-box-9-岩石{background-color:#afa981}.mw-parser-output .type-box-9-虫,.mw-parser-output .type-box-9-蟲{background-color:#91a119}.mw-parser-output .type-box-9-幽灵,.mw-parser-output .type-box-9-幽靈{background-color:#704170}.mw-parser-output .type-box-9-钢,.mw-parser-output .type-box-9-鋼{background-color:#60a1b8}.mw-parser-output .type-box-9-火{background-color:#e62829}.mw-parser-output .type-box-9-水{background-color:#2980ef}.mw-parser-output .type-box-9-草{background-color:#3fa129}.mw-parser-output .type-box-9-电,.mw-parser-output .type-box-9-電{background-color:#fac000}.mw-parser-output .type-box-9-超能力{background-color:#ef4179}.mw-parser-output .type-box-9-冰{background-color:#3fd8ff}.mw-parser-output .type-box-9-龙,.mw-parser-output .type-box-9-龍{background-color:#5060e1}.mw-parser-output .type-box-9-恶,.mw-parser-output .type-box-9-惡{background-color:#50413f}.mw-parser-output .type-box-9-妖精{background-color:#ef70ef}.mw-parser-output .type-box-9-星晶{background-color:#73c6bc}幽灵）会被以下属性效果绝佳招式受到伤害：飞行岩石幽灵火恶，那么除了这些属性以外，其他所有攻击招式都无法对脱壳忍者造成攻击伤害。
对于无法产生伤害的攻击招式，其任何效果都无法发动。
不能防止挣扎、反作用力招式、混乱状态等情况下对自己的伤害。各种非直接伤害效果也不能防止，例如灼伤、中毒、冰雹、沙暴以及对入场宝可梦生效的招式等。
该特性只能通过复制特性复制，不能通过扮演招式或化学之力、接球手等特性复制。
该特性不能防止黑暗招式的伤害。即使在《圆形竞技场》中黑暗招式不对任何属性效果绝佳，依然可以对该特性的宝可梦造成伤害。",wonder-guard,不可思议的力量，只有效果绝佳的招式才能击中。,神奇守护
26,"拥有该特性的宝可梦免疫地面属性招式（除了泼沙和千箭齐发），不会受到沙穴特性和毒菱、撒菱、黏黏网和场地型状态等状态变化的影响。拥有该特性的毒属性的宝可梦无法清除毒菱。
当宝可梦持有道具黑色铁球，或是宝可梦处于击落、扎根状态，或是场地上存在重力状态时，该特性失效。",levitate,从地面浮起，从而不会受到地面属性招式的攻击。,飘浮
27,"使用接触类招式攻击该特性的宝可梦时会有30%的机率陷入麻痹、中毒或睡眠状态。
- 其中，睡眠概率略高于10%，麻痹概率为10%，中毒概率略低于10%。
连续招式的每一击都可能触发该特性。
该特性属于粉末类特性，因此对草属性、拥有防尘特性或携带防尘护目镜的宝可梦无效。",effect-spore,受到攻击时，有时会把接触到自己的对手变为中毒、麻痹或睡眠状态。,孢子
28,"其他宝可梦对自身造成灼伤、中毒、剧毒、麻痹时，自身对那只宝可梦造成相同的异常状态。
若特性为同步的宝可梦同时携带可以治愈它异常状态的树果，那么触发树果效果前触发同步特性。
若处于异常状态的非同步特性宝可梦对特性为同步的宝可梦使用精神转移，同步特性会在异常状态被治愈之前触发，使得特性发动失败，前者的异常状态可以解除。
两只宝可梦连续因为同步而触发，但是字幕会显示同步失败。
以下情况不会触发同步特性：
- 若由于接触到毒菱而陷入中毒状态；
- 若由于携带到剧毒宝珠或火焰宝珠而陷入中毒或灼伤状态。",synchronize,将自己的中毒、麻痹或灼伤状态传染给对手。,同步
29,"在通常情况下，能力不会被对方及同伴的招式和特性降低（例如招式可怕面孔、特性威吓等）。
恒净之躯特性不能阻止以下能力的降低方式：
- 自身使用降低自身能力的招式：蛮力、臂锤等；
- 自身携带降低能力的道具：黑色铁球等；
- 降低能力的异常状态：麻痹、灼伤；
- 与对方平分能力的招式：防守平分、力量平分；
- 与对方交换能力的招式：心灵互换、防守互换、力量互换；
- 与同行宝可梦传递能力的招式：接棒；
- 改变能力的招式：颠倒；
- 无视恒净之躯的特性：破格、涡轮火焰、兆级电压。",clear-body,不会因为对手的招式或特性而被降低能力。,恒净之躯
30,"替换该特性的宝可梦后，异常状态自动解除。
得到该特性的宝可梦替换后，异常状态自动解除。
该特性的宝可梦变为无特性时，异常状态不会解除。",natural-cure,回到同行队伍后，异常状态就会被治愈。,自然回复
31,"具有该特性的宝可梦不受电属性招式的影响，当被电属性的招式击中时，提升1级特攻。
场上其他宝可梦（包括同伴）使出的作用范围为单体的电属性招式的目标强制转移至该特性的宝可梦。若场上有多只宝可梦拥有此特性，将吸引到速度较高的那只。万众瞩目可以覆盖这个效果。螺旋尾鳍、坚毅、狙击可以无视这个效果。
- 即使处于守住状态，依然能够吸引电属性的招式，但特攻不会提升。
- 该特性对电属性的变化招式有效。包括通过其他方式变为电属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。
- 该特性的宝可梦无法触发自身携带的充电电池。
- 可以吸引同伴的极巨闪电，即使极巨闪电无法直接对同伴使用。
因为等离子浴并不以任何宝可梦为目标，也不直接影响处在场上的宝可梦，所以此招式不会触发避雷针特性。",lightning-rod,将电属性的招式吸引到自己身上，不会受到伤害，而是会提高特攻。,避雷针
32,"使用招式时追加效果的出现率×2，超过100％则必然出现追加效果。
- 携带王者之证或锐利之牙的宝可梦触发道具效果的几率×2。
- 彩虹的效果可与天恩的效果重叠。即追加效果的出现几率×4。
可能使宝可梦陷入畏缩状态的招式，畏缩几率最多只能×2。
第八世代及以前，在效果重叠后可能会出现数值溢出错误，导致追加效果的几率计算后大于255%时，会减去256%。这只会出现在充电光束上。
第九世代开始，效果重叠后追加效果的几率会变为100%。",serene-grace,托天恩的福，招式的追加效果容易出现。,天恩
33,"下雨或大雨天气时，速度能力变为原来的2倍。
下雨天气时，拥有该特性的宝可梦一回合招式可以使用2次而不消耗额外ＰＰ。",swift-swim,下雨天气时，速度会提高。,悠游自如
34,处于大晴天或大日照天气时，该特性的宝可梦速度能力变为原来的2倍。,chlorophyll,晴朗天气时，速度会提高。,叶绿素
35,"命中率能力变化不会被对方以任何方式降低，无视目标闪避率能力变化的提升。
- 与能力变化无关的影响命中判定的效果（如奇迹皮肤、沙隐、雪隐等），不会受到发光特性的影响。
该特性的宝可梦受到攻击后，本层会多出1个对手。RBTDS
该特性的宝可梦使用发光类招式（如奇异之光、光墙）后会进入“诱饵”状态。在有多个目标可以攻击时，敌人会优先攻击处于该状态的目标。此状态在5回合后或进入下一层时消失。SMD",illuminate,通过让周围变亮来保持命中率不会被降低。,发光
36,"自身登场时，复制特性变为随机1只对方宝可梦的特性。如果复制到了登场时发动的特性，它会立即发动。自身离场时特性还原为复制。
当复制其他特性后，该特性的宝可梦再次变为复制特性（比如使用扮演），复制特性无法触发，直到下次替换出场时再次触发。
复制的目标处于无特性，能触发该特性。
如果对方场上没有可以复制的特性，则复制特性暂不发动，而是留待对方场上出现能够复制的特性时发动。
下表所列均为无法复制的特性，打 ✔ 的表示该特性在对应世代可以被复制：
自身被攻击的回合获得随机一只攻击自己的宝可梦的特性。",trace,出场时，复制对手的特性，变为与之相同的特性。,复制
37,"伤害计算中，此宝可梦的攻击能力值×２。
- 此效果不是能力变化。使用其他数据代替攻击能力值（如将对手的攻击能力值代替自身攻击能力值的移花接木、将自身的防御能力值代替自身攻击能力值的扑击）进行伤害计算的物理招式时，伤害计算中的攻击也会×２。
每回合有1⁄3机率攻击提升50%。",huge-power,物理攻击的威力会变为２倍。,大力士
38,"使用接触类招式攻击该特性的宝可梦时会有30%的机率中毒。
连续招式每次攻击时都可能触发该特性。",poison-point,有时会让接触到自己的对手变为中毒状态。,毒刺
39,"该特性的宝可梦不会陷入畏缩状态。破格、兆级电压和涡轮火焰特性的宝可梦仍能使该特性的宝可梦畏缩。获得该特性并不能解除畏缩状态。
该特性不受威吓影响。",inner-focus,拥有经过锻炼的精神，而不会因对手的攻击而畏缩。对威吓也毫不动摇。,精神力
40,"该特性的宝可梦不会陷入冰冻状态。
当该特性的宝可梦在队伍时，队伍中蛋孵化的速度提高为原来的2倍。
- 此效果不会与自身、火焰之躯或蒸汽机叠加，但是它会与释出之力、O能量、蛋蛋力或孵蛋碰碰叠加。",magma-armor,将炽热的熔岩覆盖在身上，不会变为冰冻状态。,熔岩铠甲
41,该特性的宝可梦不会陷入灼伤状态。当灼伤状态的宝可梦获得该特性时灼伤状态会被治愈。,water-veil,将水幕裹在身上，不会变为灼伤状态。,水幕
42,"使对方非幽灵属性的钢属性宝可梦进入无法逃走状态，无法替换或逃走。
钢属性宝可梦攻击该特性的宝可梦会被固定，几回合内无法移动。TS",magnet-pull,用磁力吸住钢属性的宝可梦，使其无法逃走。,磁力
43,"不受其他宝可梦使出的声音的招式影响，但会受到自己使出的声音的招式影响。
- 双打对战中在场上时不能被同伴的治愈铃声治愈。
- 隔音特性的宝可梦被接棒传递终焉之歌状态时，终焉之歌仍然有效。
- 不能防止因灭亡之躯而产生的终焉之歌状态。
该特性宝可梦不受宝可梦之笛的影响FRLG。",soundproof,通过屏蔽声音，不受到声音招式的影响。,隔音
44,在下雨天气时每回合结束回复1⁄16体力。,rain-dish,下雨天气时，会缓缓回复ＨＰ。,雨盘
45,"当该宝可梦登场时，天气转为沙暴并持续5回合。
- 在携带了道具沙沙岩石的情况下，沙暴会持续8回合。
- 在大雨、大日照和乱流天气下，特性发动失败。
- 如果有多只拥有可更换天气特性的宝可梦同时登场，那么将会按照宝可梦的速度依次发动特性改变天气，后者覆盖前者。发动失败的情况下除外。",sand-stream,出场时，会把天气变为沙暴。,扬沙
46,"使用招式以该特性的宝可梦或以全场为目标时，每有一只该特性的宝可梦，多损失1点ＰＰ。友方宝可梦使用招式时则不会触发该特性。
- 该特性不受破格、兆级电压和涡轮火焰特性影响。
- 无论招式是否命中或有效，该效果都会生效。例如被守住或替身阻挡、幽灵属性宝可梦受到近身战的攻击等。
广域战力和龙箭攻击时，只计算选择位置宝可梦可能的压迫感，至多只会多损失1点ＰＰ。
- 对手使用撒菱、毒菱、隐形岩、化为己用、封印时也会触发该特性。
- 对手使用太晶爆发时，即使目标不是持有该特性的宝可梦，也同样会受到该特性影响。",pressure,给予对手压迫感，大量减少其使用招式的ＰＰ。,压迫感
47,"拥有该特性的宝可梦受到冰属性或火属性招式攻击时，在伤害计算中对方的攻击或特攻减半。
- 此效果不是能力变化。
- 不影响固定伤害类招式的伤害。不影响混乱的伤害。
- 仅第四世代，拥有该特性的宝可梦受到冰属性或火属性招式攻击时，此招式的威力变为原来的1⁄2。
技术高手仍然以招式原本的威力判定是否适用其效果。",thick-fat,因为被厚厚的脂肪保护着，会让火属性和冰属性的招式伤害减半。,厚脂肪
48,"该特性的宝可梦陷入睡眠的持续回合变为原来的1⁄2（向下取整）。例如，原本睡眠状态持续3回合时会变为1回合，原本持续1回合时会立刻清醒。
- 对自身使用睡觉而陷入的睡眠状态同样有效。",early-bird,即使变为睡眠状态，也能以２倍的速度提早醒来。,早起
49,"使用接触类招式攻击该特性的宝可梦时会有30%的机率灼伤。
连续招式的每一击都会单独触发该特性。
当该特性的宝可梦在队伍时，队伍中蛋孵化的速度提高为原来的2倍。
- 此效果不会与自身、熔岩铠甲或蒸汽机叠加，但是它会与释出之力、O能量、蛋蛋力或孵蛋碰碰叠加。",flame-body,有时会让接触到自己的对手变为灼伤状态。,火焰之躯
50,"在与野生宝可梦对战时，无视对手任何阻挡逃走的效果，必定逃走成功。
除队长外拥有该特性的宝可梦在体力不满一半时会变为惊吓状态离开对战。免疫对手某些招式或特性带给该宝可梦的无法逃走状态。",run-away,一定能从野生宝可梦那儿逃走。,逃跑
51,"命中率能力变化不会被对方以任何方式降低，无视目标闪避率能力变化的提升。
- 与能力变化无关的影响命中判定的效果（如奇迹皮肤、沙隐、雪隐等），不会受到锐利目光特性的影响。",keen-eye,多亏了锐利的目光，命中率不会被降低。,锐利目光
52,攻击能力变化不会被对方以任何方式降低。,hyper-cutter,因为拥有以力量自豪的钳子，不会被对手降低攻击。,怪力钳
53,"当自己没有携带物品时，回合结束后获得在自己的非远程招式攻击范围内，对方宝可梦或同伴宝可梦于该回合使用或投掷而消耗的携带物品。如果回合内对手宝可梦与同伴宝可梦均使用了道具，优先获得对手的道具。
同一回合内离场或陷入昏厥的宝可梦用掉的道具无法被捡拾，即使在该回合内又重新上场。
被烧净，啄食，虫咬，拍落的道具无法被捡拾，因受到攻击而破裂的气球无法被捡拾。
在对战结束后有10%机率会捡拾到特定物品，捡拾以携带表示。
当宝可梦已携带物品或成功收服野生宝可梦时该特性无效。在部分战斗设施中捡拾无效。",pickup,有时会捡来对手用过的道具，冒险过程中也会捡到。,捡拾
54,"每2回合才能发动一次招式。在懒惰回合可以做出交换操作。
可以使用蓄力的招式，但蓄力完毕后下一回合会因为偷懒而不能发出招式。
可以使用使用后下一回合自己将无法动弹的招式，其停滞与懒惰的回合会在同一回合计算，懒惰回合不能作出任何操作。
如果没有成功使用招式，例如招式没有命中、受到麻痹的无法行动效果，与懒惰的回合不会在同一回合计算。
烦恼种子、单纯光束、找伙伴对拥有该特性的宝可梦会使用失败。
使用特殊招式或不可思议之玉就会变为暂停状态。
在被敌人包围时会陷入打哈欠状态SMD。",truant,如果使出招式，下一回合就会休息。,懒惰
55,攻击提升为原来的1.5倍，物理招式的命中率×0.8。,hustle,自己的攻击变高，但命中率会降低。,活力
56,"异性宝可梦使用接触类招式攻击该特性的宝可梦时会有30%的机率着迷。
连续招式的每一击都会单独触发该特性。
在闯入对战中，能让入场宝可梦与队首宝可梦性别不同的概率变为50%。",cute-charm,有时会让接触到自己的对手着迷。,迷人之躯
116,效果绝佳招式造成的伤害降低1⁄4。,solid-rock,受到效果绝佳的攻击时，可以减弱其威力。,坚硬岩石
57,"场上己方同伴具有正电或负电特性时，特攻能力×1.5。
磁场操控可令己方所有特性为正电或负电的宝可梦的防御和特防分别提升1级。辅助齿轮可令己方所有特性为正电或负电的宝可梦的攻击和特攻分别提升1级。",plus,出场的伙伴之间如果有正电或负电特性的宝可梦，自己的特攻会提高。,正电
58,"场上己方同伴具有负电或正电特性时，特攻能力×1.5。
磁场操控可令己方所有特性为负电或正电的宝可梦的防御和特防分别提升1级。辅助齿轮可令己方所有特性为负电或正电的宝可梦的攻击和特攻分别提升1级。",minus,出场的伙伴之间如果有正电或负电特性的宝可梦，自己的特攻会提高。,负电
59,"飘浮泡泡的形态与属性根据天气而改变：
- 在大晴天或大日照时，变为太阳的样子与火属性；
- 在下雨或大雨时，变为雨水的样子与水属性；
- 在冰雹天气时，变为雪云的样子与冰属性；
- 在无关天气或气闸特性宝可梦在场或其他天气时，变为飘浮泡泡的样子与一般属性。
该特性仅当拥有者为飘浮泡泡时有效，当飘浮泡泡失去该特性时形态变回一般属性的飘浮泡泡的样子。
其他宝可梦对飘浮泡泡使用变身后，会变成飘浮泡泡当前的形态。",forecast,受天气的影响，会变为水属性、火属性或冰属性中的某一个。,阴晴不定
60,"携带物品不会受到其他宝可梦以下招式的影响：
- 渴望、小偷的夺取；
- 戏法、掉包的交换；
- 拍落不会使物品消失，但仍会受到拍落的伤害加成。
- 虫咬、啄食的消耗。
黏着特性不影响附着针。
破格、兆级电压和涡轮火焰影响黏着特性。",sticky-hold,因为道具是粘在黏性身体上的，所以不会被对手夺走。,黏着
61,在每回合结束时，有1⁄3的几率治愈自身除昏厥以外的异常状态。,shed-skin,通过蜕去身上的皮，有时会治愈异常状态。,蜕皮
62,"该特性的宝可梦处于除昏厥以外的异常状态时，攻击提升50%，并无视灼伤的非固定伤害类物理招式威力变为原本的50%效果。
该特性的宝可梦被冰冻时使用解除冰冻状态的招式，攻击不会提升。
当宝可梦陷入任何异常状态（灼伤、麻痹、中毒、睡眠、封印、挑衅等）时攻击提升100%。",guts,如果变为异常状态，会拿出毅力，攻击会提高。,毅力
63,"异常状态时防御上升为原来1.5倍。
陷入异常状态时受到物理攻击防御上升50%。",marvel-scale,如果变为异常状态，神奇鳞片会发生反应，防御会提高。,神奇鳞片
