id,effect,internal_name,introduction,name
249,拥有此特性的宝可梦一方，除拥有该特性的宝可梦以外的宝可梦招式威力提高30%。,power-spot,只要处在相邻位置，招式的威力就会提高。,能量点
250,"拥有此特性的宝可梦，自身的属性将取决于当前的场地型状态而改变。
- 对战场地处于电气场地状态时，会变为电属性。
- 对战场地处于青草场地状态时，会变为草属性。
- 对战场地处于薄雾场地状态时，会变为妖精属性。
- 对战场地处于精神场地状态时，会变为超能力属性。
当场地型状态消失时，宝可梦会恢复原本的属性。拥有拟态特性的宝可梦在变身状态下会先恢复变身前的原属性，而非所变身对象的属性。
拟态特性的触发条件为：当拥有该特性的宝可梦在场地存在时替换上场，或场地型状态发生变化；通过其他方式（如浸水）改变属性会覆盖拟态特性带来的属性变化。
无论拥有拟态特性的宝可梦是否具有地面属性，该特性都会生效。
若拥有拟态特性的宝可梦因森林咒术或万圣夜获得额外属性，当场地型状态触发拟态特性时，通常仅会改变其常规属性而不影响额外属性。但若该宝可梦因森林咒术变为草属性时又因青草场地变为草属性，则森林咒术的效果会消失。",mimicry,宝可梦的属性会根据场地的状态而变化。,拟态
251,当该特性的宝可梦出场时，解除双方场地的光墙、反射壁和极光幕状态。,screen-cleaner,出场时，敌方和我方的光墙、反射壁和极光幕的效果会消失。,除障
252,"拥有该特性的宝可梦在场时，自身和场上全部同伴宝可梦使用钢属性招式威力×1.5。
一方场上存在多只该特性的宝可梦时，效果累积。",steely-spirit,我方的钢属性攻击威力会提高。,钢之意志
253,该特性的宝可梦受到接触类招式攻击时，会令双方陷入终焉之歌状态。3回合后，处于终焉之歌状态的宝可梦会陷入昏厥状态。替换后效果消失。,perish-body,受到接触类招式攻击时，双方都会在３回合后变为濒死状态。替换后效果消失。,灭亡之躯
254,"受到接触类招式攻击时，互换双方的特性。在极巨化的情况下，游魂不会发动。
- 如果连续攻击特性的宝可梦使用连续招式攻击游魂特性的宝可梦，该宝可梦的特性在第一次攻击之后就会变为游魂，但仍然会继续攻击最大次数。
- 如果拥有坚硬脑袋特性的宝可梦使用了反作用力伤害的招式，则仍然要受到反作用力伤害。
- 如果拥有亲子爱特性的宝可梦使用接触类招式攻击游魂特性的宝可梦，该宝可梦的特性在第一次攻击之后就会变为游魂，但仍然会继续攻击第二次，并且第二击的威力仍然是第一击的1⁄4。
- 如果攻击方特性为无法被交换的特性，如神奇守护、多属性、达摩模式、牵绊变身、战斗切换、鱼群、画皮、绝对睡眠、群聚变形、界限盾壳、ＡＲ系统等，则游魂特性不发动。",wandering-spirit,与使用接触类招式攻击自己的宝可梦互换特性。,游魂
255,"- 拥有该特性的宝可梦攻击会提高50%，但只能使用一开始使用的招式。
重新上场或重新获得该特性时效果重置。
该特性的宝可梦极巨化时，特性效果会暂时消失（不提升攻击且不会锁定招式），极巨化结束后，特性效果恢复。如果极巨化前已经使出过某招式，则极巨化结束后仍然只能使用该招式；如果极巨化前未曾成功使出过招式，则极巨化结束后仍可以自由选择招式，使用成功后只能使用该招式。
如果宝可梦在特性效果下锁定的招式ＰＰ为零或者因为挑衅、定身法或无理取闹不能使用锁定的招式，则只能使用挣扎。此时无法进入招式选择界面。",gorilla-tactics,虽然攻击会提高，但是只能使出一开始所选的招式。,一猩一意
256,"此特性能让周围宝可梦变为无特性状态。
该特性在上场时发动，仅在太晶变形后发动，先于包括紧张感在内的其他特性。
该特性无法消除其他宝可梦的化学变化气体和所有无法被覆盖的特性。
该特性的宝可梦一旦被击倒或替换，其他宝可梦的特性就会生效，在此情况下：
- 部分入场时发动的特性（如威吓、破格等）会在同位置的新宝可梦上场前按照速度顺序发动一次，无论之前是否发动过；
- 满足一定条件才发动的特性（如贪吃鬼等）需要再次触发条件才能发动（如贪吃鬼需要ＨＰ在一半以下变化一次）；
- 拥有自信过度、苍白嘶鸣、漆黑嘶鸣和异兽提升等特性的宝可梦在击倒特性为化学变化气体的宝可梦后可以提升能力。",neutralizing-gas,特性为化学变化气体的宝可梦在场时，场上所有宝可梦的特性效果都会消失或者无法生效。,化学变化气体
257,拥有此特性的宝可梦不仅能使自己及同伴免疫中毒状态，在对战中出场时，还能回复我方的中毒状态。,pastel-veil,自己和同伴都不会陷入中毒的异常状态。,粉彩护幕
258,"该特性的宝可梦每一回合都会在满腹花纹和空腹花纹之间改变自身的样子。
气场轮会根据不同形态变为不同的属性，在满腹花纹时是电属性的招式，在空腹花纹时则会变成恶属性的招式。
该特性在宝可梦太晶化后不再发动。宝可梦不再每一回合改变自身的样子，而是维持太晶化前的样子。",hunger-switch,每回合结束时会在满腹花纹与空腹花纹之间交替改变样子。,饱了又饿
259,"对战中使用非变化招式时，有30%概率在相同优先度下先出手。
- 速击触发时，无视后攻之尾的效果。",quick-draw,有时能比对手先一步行动。,速击
260,"使用接触类招式时，能无视对方除极巨防壁外的防住类招式，正常造成伤害。
- 不会触发王者盾牌、尖刺防守、碉堡、拦堵、线阱、火焰守护等招式的特殊效果。
- 不会解除守住或快速防守状态。这与佯攻、潜灵奇袭或暗影潜袭不同。受该特性影响的招式无视防住类招式正常造成伤害后，目标在本回合仍然能阻挡大部分目标含自己的招式，下一回合连续使用招式的成功率也会降低。
拥有此特性的宝可梦使用潜灵奇袭或暗影潜袭会正常接触守住或快速防守状态。
- 如果该特性的宝可梦携带拳击手套使用拳类招式，招式不受该特性影响，依旧会被防住类招式阻挡。
这种情况下，如果使用拳类招式以外的接触类招式，招式会受该特性影响，无视对方除极巨防壁外的防住类招式正常造成伤害。
- 如果该特性的宝可梦携带部位护具使用接触类招式，招式会受该特性影响，无视对方除极巨防壁外的防住类招式正常造成伤害。
拥有该特性的宝可梦使用连续招式命中拥有木乃伊、甩不掉的气味或游魂状态的目标时，宝可梦会在连续招式的第一次攻击受对应特性影响而失去该特性，但连续招式的剩余攻击仍会适用该特性效果，直到攻击结束。",unseen-fist,如果使出的是接触到对手的招式，就可以无视守护效果进行攻击。,无形拳
261,当拥有这个特性的宝可梦上场战斗时，能产生将我方宝可梦能力变化复原的效果。,curious-medicine,出场时会从贝壳撒药，将我方的能力变化复原。,怪药
262,拥有此特性的宝可梦使出的电属性招式威力会提高30%。,transistor,电属性的招式威力会提高。,电晶体
264,该特性的宝可梦打败任意一方的一只宝可梦后，自身攻击提升1级。,chilling-neigh,打倒对手时会用冰冷的声音嘶鸣并提高攻击。,苍白嘶鸣
265,该特性的宝可梦打败任意一方的一只宝可梦后，自身特攻提升1级。,grim-neigh,打倒对手时会用恐怖的声音嘶鸣并提高特攻。,漆黑嘶鸣
266,"同时发动蕾冠王以及所骑爱马的特性（即紧张感及苍白嘶鸣／漆黑嘶鸣）。
该特性的发动优先级高于除化学变化气体外的所有特性，与紧张感优先级相同。
人马一体特性在宝可梦上场时会出现提示：“ [宝可梦的名字]同时拥有了两种特性！”，随后立刻出现紧张感的提示。",as-one-glastrier,兼备蕾冠王的紧张感和雪暴马的苍白嘶鸣这两种特性。兼备蕾冠王的紧张感和灵幽马的漆黑嘶鸣这两种特性。,人马一体
267,"同时发动蕾冠王以及所骑爱马的特性（即紧张感及苍白嘶鸣／漆黑嘶鸣）。
该特性的发动优先级高于除化学变化气体外的所有特性，与紧张感优先级相同。
人马一体特性在宝可梦上场时会出现提示：“ [宝可梦的名字]同时拥有了两种特性！”，随后立刻出现紧张感的提示。",as-one-spectrier,兼备蕾冠王的紧张感和雪暴马的苍白嘶鸣这两种特性。兼备蕾冠王的紧张感和灵幽马的漆黑嘶鸣这两种特性。,人马一体
268,"拥有该特性的宝可梦在受到接触类招式的攻击时，对手的特性会变成甩不掉的气味。
如果该接触类招式是连续招式，在第一下攻击后攻击方的特性会变为甩不掉的气味，并且与增减招式伤害无关的特性效果在攻击结束前仍旧存在。
- 连续攻击特性变为甩不掉的气味后，仍然会继续攻击最大次数。
- 胆量特性变为甩不掉的气味后，如果使用的连续招式是一般属性或格斗属性，从第二下开始的攻击仍然能打中幽灵属性的宝可梦。
- 诸如毅力、大力士之类能增减招式伤害的特性变为甩不掉的气味后，这类特性的效果会立刻消失。
如果拥有坚硬脑袋特性的宝可梦使用了反作用力伤害的招式，则仍然要受到反作用力伤害。
如果攻击方特性为木乃伊或无法被覆盖的特性，如多属性、达摩模式、战斗切换、界限盾壳、鱼群、画皮、结冻头、牵绊变身、群聚变形、绝对睡眠、ＡＲ系统、一口导弹、人马一体、全能变身、发号施令、古代活性、夸克充能、绯红脉动、强子引擎等，则攻击方的特性不会变为甩不掉的气味。",lingering-aroma,被对手接触到后，甩不掉的气味会沾上对手。,甩不掉的气味
269,"拥有该特性的宝可梦在受到攻击时，场地会变为青草场地，持续5回合。
- 携带了道具大地膜的情况下，青草场地会持续8回合。
- 如果受到连续招式的攻击，则会在第一下攻击后布下青草场地。",seed-sower,受到攻击时，会将脚下变成青草场地。,掉出种子
270,"拥有该特性的宝可梦在受到火属性攻击招式攻击时，自身攻击提升1级，且不会陷入灼伤状态。
处于替身状态时，不会触发此特性。",thermal-exchange,受到火属性的招式攻击时，攻击会提高，且不会陷入灼伤状态。,热交换
271,"当ＨＰ因受到攻击变为1⁄2以下时，防御和特防降低1级，攻击、特攻、速度提高1级。
- 若ＨＰ是由于间接伤害而降为1⁄2以下（如寄生种子、天气伤害、因混乱而攻击自身、生命宝珠等），该特性不会触发。",anger-shell,因被对手攻击而ＨＰ变为一半时，会因愤怒降低防御和特防。但攻击、特攻、速度会提高。,愤怒甲壳
272,"拥有该特性的宝可梦不会陷入异常状态。受到幽灵属性的招式的伤害变为1⁄2。
- 无法成功使出睡觉。
- 已经陷入异常状态的宝可梦获得该特性后，异常状态不会解除。
- 不影响幽灵属性的固定伤害类招式，如黑夜魔影的伤害。",purifying-salt,因洁净的盐而不会陷入异常状态。会让幽灵属性的招式伤害减半。,洁净之盐
273,"具有该特性的宝可梦不受火属性招式的影响，当被火属性的招式击中时，提升2级防御。
- 该特性只能令自身不受火属性招式的影响，不能将火属性招式的目标转移至自身。
- 该特性对火属性的变化招式有效。包括通过其他方式变为火属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。",well-baked-body,受到火属性的招式攻击时，不会受到伤害，而是会大幅提高防御。,焦香之躯
274,"拥有该特性的宝可梦不受风的招式影响，当被风的招式击中时，提升1级攻击。
己方场地上存在顺风时，攻击提高1级。",wind-rider,吹起了顺风或受到风的招式攻击时，不会受到伤害，而是会提高攻击。,乘风
275,"拥有该特性的宝可梦受到威吓时，攻击不会下降，而是提升1级。
不受强制替换宝可梦的招式以及红牌的影响。
- 自身使用和后备宝可梦进行替换的招式或携带的逃脱按键不受该特性影响。",guard-dog,受到威吓时，攻击会提高。让替换宝可梦的招式和道具无效。,看门犬
276,拥有该特性的宝可梦使出的岩石属性的招式威力会提高50%。,rocky-payload,岩石属性的招式威力会提高。,搬岩
277,受到风的招式攻击或己方使用顺风时，会进入充电状态。,wind-power,受到风的招式攻击时，会变为充电状态。,风力发电
278,"回到同行队伍后，会变为全能形态。
- 全能形态的海豚侠在陷入昏厥状态、并在对战中恢复之后，仍然保持全能形态。",zero-to-hero,回到同行队伍后，会变为全能形态。,全能变身
279,"拥有该特性的米立龙出场时，若同伴之一为吃吼霸，就会进入其口中，出现提示：[米立龙的名字]作为发号施令的要员而被[吃吼霸的名字]吞下去了！。吃吼霸的攻击、防御、特攻、特防、速度提升2级，且无法替换下场（即使米立龙陷入昏厥状态）。
米立龙在吃吼霸口中时，其状态与使用蓄力的招式离场时类似。无法对其下达指令，以其为目标的招式不会命中（即使使用者的特性为无防守）。
进入吃吼霸口中的米立龙仍会因为沙暴、异常状态等效果的影响而受到伤害。若米立龙此前已经陷入终焉之歌状态，进入口中后回合数仍会继续计算。
当吃吼霸陷入昏厥状态时，米立龙从其口中离开并回到原来的位置。若另一只吃吼霸替换上场，发号施令会再次发动。相反，若吃吼霸口中的米立龙陷入昏厥状态，即使再次换上任何一只米立龙，发号施令也不会再次发动。
米立龙的姿势会影响吃吼霸使用上菜时提高的能力。
该特性在多人对战或太晶团体战中没有效果。",commander,出场时，若我方当中有吃吼霸，就会进入其口中，并从其口中发出指令。,发号施令
280,"受到伤害时，会进入充电状态。
- 连续招式每一击都会单独触发该特性。
- 充电状态不能叠加。",electromorphosis,受到伤害时，会变为充电状态。,电力转换
281,"携带驱劲能量或天气为大晴天时，除ＨＰ外数值最高的能力会提高30%；若该项能力为速度，则会提高50%。
- 即使携带万能伞，在大晴天下依旧能够发动该特性。
- 数值最高的能力的判断会计算能力变化，但不会计算携带道具、特性、状态变化等其他情况。
- 在大晴天下，发动该特性时即使携带了驱劲能量也不会消耗。
- 当数项能力同为最高时，按攻击、防御、特攻、特防、速度的顺序提升其中的一项。
- 在己方场地上存在黏黏网（状态）时，受影响的己方宝可梦交换上场时，速度先下降1级，再根据当前速度实际值判定能力提升。",protosynthesis,携带着驱劲能量或天气为晴朗时，数值最高的能力会提高。,古代活性
282,"携带驱劲能量或对战场地处于电气场地状态时，除ＨＰ外数值最高的能力会提高30%；若该项能力为速度，则会提高50%。
- 场地处于电气场地时，无论特性拥有者是否为地面上的宝可梦均会发动。
- 数值最高的能力的判断会计算能力变化，但不会计算携带道具、特性、状态变化等其他情况。
- 在电气场地下，发动该特性时即使携带了驱劲能量也不会消耗。
- 当数项能力同为最高时，按攻击、防御、特攻、特防、速度的顺序提升其中的一项。
- 在己方场地上存在黏黏网（状态）时，受影响的己方宝可梦交换上场时，速度先下降1级，再根据当前速度实际值判定能力提升。
- 出场时，当前没有电气场地，因特性或招式启动电气场地时，夸克充能会优先于电气种子发动。
- 出场时，当前存在电气场地，电气种子会优先于夸克充能发动。",quark-drive,携带着驱劲能量或在电气场地上时，数值最高的能力会提高。,夸克充能
283,"拥有该特性的宝可梦不会受到其他宝可梦以该特性宝可梦为目标（之一）的变化招式的影响，例如：终焉之歌。
包括己方的其他宝可梦对该特性宝可梦使用变化招式依然无效，例如：帮助。
该特性宝可梦依然会受到以下招式的影响：
- 作用于该特性宝可梦一方范围的招式，例如：隐形岩；
- 作用于全场的招式，例如：黑雾、戏法空间。",good-as-gold,不会氧化的坚固黄金身躯不会受到对手的变化招式的影响。,黄金之躯
284,"拥有该特性的宝可梦在场时，除拥有灾祸之鼎特性的宝可梦外，其他特性的宝可梦的特攻降低为原本的3⁄4。
- 破格不能无视该特性的效果。
- 场上存在多只特性为灾祸之鼎的宝可梦时，其他宝可梦受到的特攻降低效果不叠加。
当拥有该特性的宝可梦登场时会出现提示：[宝可梦的名字]的灾祸之鼎令周围的宝可梦的特攻减弱了！",vessel-of-ruin,以能呼唤灾厄的鼎的力量降低除自己以外的宝可梦的特攻。,灾祸之鼎
285,"拥有该特性的宝可梦在场时，除拥有灾祸之剑特性的宝可梦外，其他特性的宝可梦的防御降低为原本的3⁄4。
- 破格不能无视该特性的效果。
- 场上存在多只特性为灾祸之剑的宝可梦时，其他宝可梦受到的防御降低效果不叠加。
- 其他特性的宝可梦使用扑击，用防御代替攻击进行计算时，其防御不视为3⁄4。
- 因混乱而攻击自身时，造成的伤害不会受到该特性的影响。
- 若场上处于奇妙空间，该特性的效果变为降低特防为原本的3⁄4。
当拥有该特性的宝可梦登场时会出现提示：[宝可梦的名字]的灾祸之剑令周围的宝可梦的防御减弱了！",sword-of-ruin,以能呼唤灾厄的剑的力量降低除自己以外的宝可梦的防御。,灾祸之剑
286,"拥有该特性的宝可梦在场时，除拥有灾祸之简特性的宝可梦外，其他特性的宝可梦的攻击降低为原本的3⁄4。
- 破格不能无视该特性的效果。
- 场上存在多只特性为灾祸之简的宝可梦时，其他宝可梦受到的攻击降低效果不叠加。
- 其他特性的宝可梦因混乱而攻击自身时，受到的伤害不受该特性的影响。
- 其他特性的宝可梦使用扑击，用防御代替攻击进行计算时，将自身的防御视为3⁄4。
- 拥有该特性的宝可梦使用移花接木攻击其他特性的宝可梦时，不将目标的攻击视为3⁄4。
- 拥有该特性的宝可梦受到其他特性的宝可梦的移花接木攻击时，将自身的攻击视为3⁄4。
当拥有该特性的宝可梦登场时会出现提示：[宝可梦的名字]的灾祸之简令周围的宝可梦的攻击减弱了！",tablets-of-ruin,以能呼唤灾厄的简的力量降低除自己以外的宝可梦的攻击。,灾祸之简
287,"拥有该特性的宝可梦在场时，除拥有灾祸之玉特性的宝可梦外，其他特性的宝可梦的特防降低为原本的3⁄4。
- 破格不能无视该特性的效果。
- 场上存在多只特性为灾祸之玉的宝可梦时，其他宝可梦受到的特防降低效果不叠加。
- 若场上处于奇妙空间，该特性的效果变为降低防御为原本的3⁄4。
当拥有该特性的宝可梦登场时会出现提示：[宝可梦的名字]的灾祸之玉令周围的宝可梦的特防减弱了！",beads-of-ruin,以能呼唤灾厄的勾玉的力量降低除自己以外的宝可梦的特防。,灾祸之玉
288,"拥有该特性的宝可梦出场时，天气转为大晴天并持续5回合。
天气为大晴天时，攻击提高1⁄3。
- 携带炽热岩石时，大晴天会持续8回合。
- 在大晴天下攻击携带万能伞的目标时，提高的攻击不会被无视。但自身携带万能伞时，在大晴天下攻击不会提高（即使上场时依旧会出现提示：“[宝可梦的名字]令日照变强，激起了古代的脉动！”或“[宝可梦的名字]受到日照而激起了古代的脉动！！”）。",orichalcum-pulse,出场时，会将天气变为晴朗。日照强烈时，会通过古代的脉动升高攻击。,绯红脉动
289,"拥有该特性的宝可梦出场时，会布下电气场地并持续5回合。
场地为电气场地时，特攻提高1⁄3。
- 携带大地膜时，电气场地会持续8回合。
- 无论特性拥有者是否为地面上的宝可梦，在电气场地下特攻都会提高。",hadron-engine,出场时，会布下电气场地。处于电气场地时，会通过未来的机关升高特攻。,强子引擎
290,对手的能力提高时，拥有该特性的宝可梦也会提高相同的能力。,opportunist,对手的能力提高时，自己也会趁机同样地提高能力。,跟风
291,"拥有该特性的宝可梦食用携带的树果，或受到投掷的树果影响后，会在下一回合结束时，无视食用该树果的前提条件再食用1次。如果中途替换宝可梦，则特性不会发动。
- 该特性不受紧张感影响。
- 通过包包使用的树果不受影响。
- 如果多次食用树果，反刍的回合数从食用最后一个树果开始重新计算，且反刍发动时只食用最后的树果。
- 与回收利用不同，该特性只会再次食用树果，并不会回收树果。
- 使用投掷把树果投出去的情况下，无论是使用投掷一方还是受到投掷一方都可以触发反刍。
如果反刍宝可梦A使用投掷把携带的树果投掷给反刍宝可梦B，那么两只宝可梦都可以发动反刍。
- 反刍发动前，如果拥有该特性的宝可梦无法受到该树果的影响，则特性不会发动：
ＨＰ全满时，不会食用回复ＨＰ的树果；
勿花果、异奇果、芒芒果、乐芭果和芭亚果除回复ＨＰ以外，还有令使用者陷入混乱状态的效果，因此即使ＨＰ全满也会食用。
对应能力变化等级已达最大时，不会食用提升能力变化等级的树果；
未处于对应异常状态时，不会食用解除异常状态的树果；
已经处于易中要害状态时，不会食用兰萨果。",cud-chew,吃了树果后，会在下一回合结束时从胃反刍出来再吃１次。,反刍
292,拥有该特性的宝可梦使出的切割类招式威力会提高50%。,sharpness,提高切割对手的招式的威力。,锋锐
293,"拥有该特性的宝可梦一方，每有一只宝可梦陷入过昏厥状态，该特性的宝可梦的招式威力提升10%，上限为50%。
- 若己方无宝可梦陷入昏厥状态，则入场时不会发动该特性。
- 在双打对战中，该特性发动后，友方宝可梦倒下并不会使招式威力进一步提升。
- 进入战斗之前的昏厥宝可梦不参与计算。
- 拥有该特性的宝可梦自身陷入昏厥状态也会参与计算，且不会重置特性效果。
- 在对战中复活不会降低特性提升的数值。
- 在多人对战或太晶团体战中，同伴训练家的宝可梦陷入昏厥状态不参与计算。",supreme-overlord,出场时，攻击和特攻会按照目前被打倒的同伴数量逐渐提升，被打倒越多，提升越多。,大将
294,拥有该特性的宝可梦出场时，会复制同伴的能力变化。,costar,出场时，复制同伴的能力变化。,同台共演
295,"拥有该特性的宝可梦受到物理招式攻击时，会向对手的场地撒下毒菱，使交换上场的宝可梦中毒。
可撒下两层毒菱，使交换上场的宝可梦进入剧毒状态。
- 对手场地上已有两层毒菱时，该特性不会触发。
- 连续招式的每一击都会触发此特性。
- 受到高速旋转或晶光转转攻击时，会先触发该特性撒下毒菱，然后毒菱被移除。",toxic-debris,受到物理招式的伤害时，会在对手脚下散布毒菱。,毒满地
296,"让对方使出会影响己方的先制招式失败，包含受到恶作剧之心、先行治疗或疾风之翼影响使优先度大于0的招式。
- 该效果与出招顺序无关。只要是先制招式，即使慢于优先度为0的招式使出，己方仍会受到该特性的保护。",armor-tail,包裹头部的神秘尾巴使对手无法对我方使出先制招式。,尾甲
297,"具有该特性的宝可梦不受地面属性招式的影响，当被地面属性的招式击中时，回复最大ＨＰ的1⁄4。
- 该特性只能令自身不受地面属性招式的影响，不能将地面属性招式的目标转移至自身。
- 该特性对地面属性的变化招式有效。包括通过其他方式变为地面属性的变化招式。
- 对于连续招式，只会触发1次特性效果。
- 触发该特性时，与没有效果相同，不会发动招式的追加效果。
- 该特性的宝可梦进入守住状态无法通过被地面属性招式击中回复ＨＰ。",earth-eater,受到地面属性的招式攻击时，不会受到伤害，而是会得到回复。,食土
298,"拥有该特性的宝可梦使出变化招式时，能够使目标自身、目标同伴以及自身同伴的一部分特性失效，并且在同一优先度下最晚行动。
- 获得或失去该特性，被无特性覆盖或解除无特性，该特性对出手顺序的影响在操作的下一回合才能生效。",mycelium-might,使出变化招式时，虽然行动必定会变慢，但能不受对手的特性妨碍。,菌丝之力
299,"持有该特性的宝可梦使出一般属性和格斗属性的招式时可以击中幽灵属性的宝可梦。
持有该特性的宝可梦无视对手的闪避率能力变化，且命中率能力变化不会被降低。",minds-eye,一般属性和格斗属性的招式可以击中幽灵属性的宝可梦。无视对手的闪避率的变化，且命中率不会被降低。,心眼
300,"首次出场时，令对手的闪避率下降1级。
- 对处于飞翔、潜水、挖洞或暗影潜袭状态的宝可梦有效。
- 拥有恒净之躯、白色烟雾、金属防护特性的宝可梦不受影响。
- 处于替身状态的宝可梦不受影响。
每只宝可梦一场战斗中仅能发动1次。",supersweet-syrup,首次出场时，会散发出甜腻的蜜的香味来降低对手的闪避率。,甘露之蜜
301,出场时款待同伴，使其回复最大ＨＰ的1⁄4。,hospitality,出场时款待同伴，回复其少量ＨＰ。,款待
302,持有该特性的宝可梦攻击命中目标时，有30%的概率会令目标陷入剧毒状态。,toxic-chain,凭借含有毒素的锁链的力量，有时能让被招式击中的对手陷入剧毒状态。,毒锁链
303,"根据厄诡椪的形态而改变效果。
碧草面具：每次出场时，速度上升1级。
水井面具：每次出场时，特防上升1级。
火灶面具：每次出场时，攻击上升1级。
础石面具：每次出场时，防御上升1级。",embody-aspect,"将回忆映于心中，让碧草面具发出光辉，提高自己的速度。
将回忆映于心中，让火灶面具发出光辉，提高自己的攻击。
将回忆映于心中，让水井面具发出光辉，提高自己的特防。
将回忆映于心中，让础石面具发出光辉，提高自己的防御。",面影辉映
304,出场时，会吸收周围的能量，变为太晶形态。,tera-shift,出场时，会吸收周围的能量，变为太晶形态。,太晶变形
305,拥有该特性的宝可梦在自身ＨＰ全满时，如果受到的攻击招式的属性相性倍率为1或以上，将变为效果不好（倍率为1⁄2）。,tera-shell,甲壳蕴藏着全部属性的力量，会将自己ＨＰ全满时受到的伤害全都变为效果不好。,太晶甲壳
306,"令场上所有的天气型状态和场地型状态消失。
每只宝可梦一场战斗中仅能发动1次，仅能在首次获得该特性时发动，如果发动特性的回合因化学变化气体陷入无特性状态，解除无特性状态后不会发动特性。",teraform-zero,太乐巴戈斯变为星晶形态时，蕴藏在它身上的力量会将天气和场地的影响全部归零。,归零化境
307,桃歹郎的招式对其他宝可梦造成中毒状态时，那只宝可梦也会陷入混乱状态。,poison-puppeteer,因桃歹郎的招式而陷入中毒状态的对手同时也会陷入混乱状态。,毒傀儡
10001,,mountaineer,,Mountaineer
10002,,wave-rider,,Wave Rider
10003,,skater,,Skater
10004,,thrust,,Thrust
10005,,perception,,Perception
10006,,parry,,Parry
10007,,instinct,,Instinct
10008,,dodge,,Dodge
10009,,jagged-edge,,Jagged Edge
10010,,frostbite,,Frostbite
10011,,tenacity,,Tenacity
10012,,pride,,Pride
10013,,deep-sleep,,Deep Sleep
10014,,power-nap,,Power Nap
10015,,spirit,,Spirit
10016,,warm-blanket,,Warm Blanket
10017,,gulp,,Gulp
10018,,herbivore,,Herbivore
10019,,sandpit,,Sandpit
10020,,hot-blooded,,Hot Blooded
10021,,medic,,Medic
10022,,life-force,,Life Force
10023,,lunchbox,,Lunchbox
10024,,nurse,,Nurse
10025,,melee,,Melee
10026,,sponge,,Sponge
10027,,bodyguard,,Bodyguard
10028,,hero,,Hero
10029,,last-bastion,,Last Bastion
10030,,stealth,,Stealth
10031,,vanguard,,Vanguard
10032,,nomad,,Nomad
10033,,sequence,,Sequence
10034,,grass-cloak,,Grass Cloak
10035,,celebrate,,Celebrate
10036,,lullaby,,Lullaby
10037,,calming,,Calming
10038,,daze,,Daze
10039,,frighten,,Frighten
10040,,interference,,Interference
10041,,mood-maker,,Mood Maker
10042,,confidence,,Confidence
10043,,fortune,,Fortune
10044,,bonanza,,Bonanza
10045,,explode,,Explode
10046,,omnipotent,,Omnipotent
10047,,share,,Share
10048,,black-hole,,Black Hole
10049,,shadow-dash,,Shadow Dash
10050,,sprint,,Sprint
10051,,disgust,,Disgust
10052,,high-rise,,High-rise
10053,,climber,,Climber
10054,,flame-boost,,Flame Boost
10055,,aqua-boost,,Aqua Boost
10056,,run-up,,Run Up
10057,,conqueror,,Conqueror
10058,,shackle,,Shackle
10059,,decoy,,Decoy
10060,,shield,,Shield
